Year,City,Population (in Lakhs) (2011)+,Murder,Kidnapping,Crime against women,Crime against children,Crime Committed by Juveniles,Crime against Senior Citizen,Crime against SC,Crime against ST,Economic Offences,Cyber Crimes
1996,Ahmedabad,63.5,97,719,2193,970,362,190,82,8,1587,496
1997,Ahmedabad,63.5,97,698,2112,985,330,254,76,11,1624,582
1998,Ahmedabad,63.5,103,376,1126,481,258,362,96,10,479,77
1999,Ahmedabad,63.5,116,691,2111,973,374,219,79,2,1602,515
2000,Ahmedabad,63.5,117,726,2157,951,337,207,77,11,1577,565
2001,Ahmedabad,63.5,94,681,2169,979,295,207,82,9,1726,578
2002,Ahmedabad,63.5,97,719,2193,970,362,190,82,8,1587,496
2003,Ahmedabad,63.5,70,181,1524,603,483,709,136,9,734,421
2004,Ahmedabad,63.5,97,183,1554,691,386,244,168,17,765,447
2005,Ahmedabad,63.5,116,691,2111,973,374,219,79,2,1602,515
2006,Ahmedabad,63.5,116,691,2111,973,374,219,79,2,1602,515
2007,Ahmedabad,63.5,99,730,2170,1022,342,217,81,4,1680,563
2008,Ahmedabad,63.5,94,681,2169,979,295,207,82,9,1726,578
2009,Ahmedabad,63.5,108,699,2131,986,357,198,80,7,1659,572
2010,Ahmedabad,63.5,117,726,2157,951,337,207,77,11,1577,565
2011,Ahmedabad,63.5,99,730,2170,1022,342,217,81,4,1680,563
2012,Ahmedabad,63.5,132,745,2200,930,325,211,87,14,1697,553
2013,Ahmedabad,63.5,120,740,2151,935,342,210,83,7,1612,531
2014,Ahmedabad,63.5,94,681,2169,979,295,207,82,9,1726,578
2015,Ahmedabad,63.5,104,711,2094,940,337,197,75,8,1708,577
2016,Ahmedabad,63.5,99,730,2170,1022,342,217,81,4,1680,563
2017,Ahmedabad,63.5,82,367,1371,437,215,68,66,6,399,32
2018,Ahmedabad,63.5,104,686,2180,1018,328,189,82,11,1673,564
2019,Ahmedabad,63.5,104,711,2094,940,337,197,75,8,1708,577
2020,Ahmedabad,63.5,94,681,2169,979,295,207,82,9,1726,578
2021,Ahmedabad,63.5,103,671,2108,963,288,200,87,10,1648,584
2022,Ahmedabad,63.5,82,367,1371,437,215,68,66,6,399,32
1996,Bengaluru,85.0,114,712,2169,893,355,208,93,13,1695,515
1997,Bengaluru,85.0,123,713,2118,963,346,209,76,11,1672,560
1998,Bengaluru,85.0,93,732,2257,966,333,201,69,10,1670,548
1999,Bengaluru,85.0,241,708,3100,1063,107,89,159,8,3224,675
2000,Bengaluru,85.0,93,699,2138,1002,305,200,73,7,1648,570
2001,Bengaluru,85.0,179,712,2730,1103,171,210,133,13,2085,8892
2002,Bengaluru,85.0,114,712,2169,893,355,208,93,13,1695,515
2003,Bengaluru,85.0,204,1053,3486,1488,162,209,166,12,2850,10555
2004,Bengaluru,85.0,155,811,3127,1342,177,237,166,12,2715,6423
2005,Bengaluru,85.0,241,708,3100,1063,107,89,159,8,3224,675
2006,Bengaluru,85.0,241,708,3100,1063,107,89,159,8,3224,675
2007,Bengaluru,85.0,106,761,2168,995,317,220,76,9,1698,586
2008,Bengaluru,85.0,179,712,2730,1103,171,210,133,13,2085,8892
2009,Bengaluru,85.0,103,720,2123,966,331,218,80,8,1600,508
2010,Bengaluru,85.0,93,699,2138,1002,305,200,73,7,1648,570
2011,Bengaluru,85.0,106,761,2168,995,317,220,76,9,1698,586
2012,Bengaluru,85.0,128,754,2037,1005,348,204,73,6,1646,572
2013,Bengaluru,85.0,100,724,2153,945,325,199,72,12,1642,548
2014,Bengaluru,85.0,179,712,2730,1103,171,210,133,13,2085,8892
2015,Bengaluru,85.0,105,744,2122,990,357,205,93,6,1673,561
2016,Bengaluru,85.0,106,761,2168,995,317,220,76,9,1698,586
2017,Bengaluru,85.0,235,777,3109,1086,128,100,140,9,3519,1042
2018,Bengaluru,85.0,109,712,2198,1011,296,190,95,9,1714,540
2019,Bengaluru,85.0,105,744,2122,990,357,205,93,6,1673,561
2020,Bengaluru,85.0,179,712,2730,1103,171,210,133,13,2085,8892
2021,Bengaluru,85.0,106,758,2171,1025,317,219,83,5,1659,549
2022,Bengaluru,85.0,235,777,3109,1086,128,100,140,9,3519,1042
1996,Chennai,87.0,97,675,2168,977,331,217,62,5,1665,554
1997,Chennai,87.0,161,71,874,546,496,423,23,0,840,76
1998,Chennai,87.0,172,49,723,731,647,552,8,0,811,118
1999,Chennai,87.0,100,745,2196,1011,378,221,96,8,1687,531
2000,Chennai,87.0,89,730,2108,1002,302,203,78,6,1617,589
2001,Chennai,87.0,127,736,2157,983,358,192,79,5,1681,523
2002,Chennai,87.0,97,675,2168,977,331,217,62,5,1665,554
2003,Chennai,87.0,115,683,2135,948,334,202,76,11,1651,516
2004,Chennai,87.0,102,701,2140,1010,320,208,98,16,1608,560
2005,Chennai,87.0,100,745,2196,1011,378,221,96,8,1687,531
2006,Chennai,87.0,100,745,2196,1011,378,221,96,8,1687,531
2007,Chennai,87.0,98,741,2163,993,336,185,76,6,1634,544
2008,Chennai,87.0,127,736,2157,983,358,192,79,5,1681,523
2009,Chennai,87.0,115,685,2202,968,337,208,93,15,1618,538
2010,Chennai,87.0,89,730,2108,1002,302,203,78,6,1617,589
2011,Chennai,87.0,98,741,2163,993,336,185,76,6,1634,544
2012,Chennai,87.0,118,685,2091,949,339,189,91,12,1721,530
2013,Chennai,87.0,112,714,2080,1024,333,176,78,8,1635,558
2014,Chennai,87.0,127,736,2157,983,358,192,79,5,1681,523
2015,Chennai,87.0,118,709,2183,939,345,213,79,12,1657,567
